DateTime,Order ID,Customer ID,Product ID,Product Name,Product Category,Units (Placed Orders),Price Per Unit (MYR),Sales (Placed Orders) (MYR),Payment Method,Discounts Applied (MYR),Shipping Costs (MYR),Order Status,Revenue (MYR)
2022-01-11 05:12:00,OR202201000000,8801842187,7309479,Trendy Waist Bag,Women's Fashion,2,6,12,E-wallet,0,6.76,Completed,18.76
2022-02-18 17:39:00,OR202202000001,8093148757,7302758,Ergonomic Wireless Mouse,Electronics,1,8.32,8.32,Bank Transfer,0,11.59,Return,19.91
2022-02-28 02:15:00,OR202202000002,8733277854,7317532,Foldable Fabric Storage Box,Home & Living,5,10.4,52,Bank Transfer,1.81,10.95,Completed,61.14
2022-02-22 19:26:00,OR202202000003,8190057252,7389217,Non-Stick Air Fryer,Home & Living,5,10.4,52,Credit Card,0,11.85,Pending,63.85
2022-02-14 20:05:00,OR202202000004,8333720922,7352406,Fast Charging Power Bank,Electronics,3,8.32,24.96,E-wallet,0,6.36,Return,31.32
2022-02-28 10:38:00,OR202202000005,8397732010,7338587,Non-Stick Air Fryer,Home & Living,3,10.4,31.2,Credit Card,2.69,7.81,Return,36.32
2022-02-17 20:41:00,OR202202000006,8589554636,7337942,Space-Saving Wardrobe Organizer,Home & Living,3,10.4,31.2,Credit Card,0,5.5,Return,36.7
2022-02-08 21:51:00,OR202202000007,8569573090,7361321,Non-Stick Air Fryer,Home & Living,3,10.4,31.2,E-wallet,0,5.11,Return,36.31
2022-02-28 11:59:00,OR202202000008,8460604101,7370565,Ergonomic Wireless Mouse,Electronics,3,8.32,24.96,Credit Card,0,7.2,Completed,32.16
2022-02-07 06:33:00,OR202202000009,8444857021,7397859,Trendy Waist Bag,Women's Fashion,1,6.24,6.24,E-wallet,1.01,11.93,Return,17.16
2022-02-28 06:14:00,OR202202000010,8967870602,7306361,Disposable 3-Ply Face Masks,Health & Beauty,3,5.2,15.6,E-wallet,0,9.57,Return,25.17
2022-02-10 16:44:00,OR202202000011,8433080811,7384027,Trendy Waist Bag,Women's Fashion,1,6.24,6.24,Credit Card,0,8.13,Completed,14.37
2022-02-07 13:55:00,OR202202000012,8660951990,7334914,Non-Stick Air Fryer,Home & Living,5,10.4,52,Bank Transfer,2.15,6.12,Return,55.97
2022-02-03 14:07:00,OR202202000013,8191778509,7366402,Non-Stick Air Fryer,Home & Living,1,10.4,10.4,E-wallet,0,7.82,Completed,18.22
2022-02-01 09:02:00,OR202202000014,8381467564,7348183,Fast Charging Power Bank,Electronics,4,8.32,33.28,Credit Card,0,7.37,Return,40.65
2022-02-07 13:40:00,OR202202000015,8347830019,7330842,Non-Stick Air Fryer,Home & Living,2,10.4,20.8,Credit Card,0,11.09,Return,31.89
2022-02-06 05:35:00,OR202202000016,8974770040,7349821,Foldable Fabric Storage Box,Home & Living,3,10.4,31.2,Bank Transfer,0,12.67,Pending,43.87
2022-02-05 19:34:00,OR202202000017,8200647402,7315090,Trendy Waist Bag,Women's Fashion,3,6.24,18.72,Credit Card,0,7.26,Return,25.98
2022-02-21 04:15:00,OR202202000018,8676183670,7330290,Educational Wooden Puzzle Set,Toys & Hobbies,2,2.6,5.2,Credit Card,0,5.33,Pending,10.53
2022-02-23 11:22:00,OR202202000019,8380535437,7372374,Fast Charging Power Bank,Electronics,5,8.32,41.6,E-wallet,1.1,5.33,Pending,45.83
2022-02-23 00:14:00,OR202202000020,8572241855,7361171,Educational Wooden Puzzle Set,Toys & Hobbies,3,2.6,7.8,Bank Transfer,0,11.2,Pending,19
2022-02-22 10:52:00,OR202202000021,8086675288,7313401,Non-Stick Air Fryer,Home & Living,1,10.4,10.4,Bank Transfer,0,12.67,Pending,23.07
2022-02-15 04:18:00,OR202202000022,8199080906,7366629,Fast Charging Power Bank,Electronics,4,8.32,33.28,Bank Transfer,0,7.52,Return,40.8
2022-02-26 11:58:00,OR202202000023,8985025847,7378123,Trendy Waist Bag,Women's Fashion,5,6.24,31.2,Credit Card,1.36,10.74,Return,40.58
2022-02-01 14:54:00,OR202202000024,8366942952,7343162,Trendy Waist Bag,Women's Fashion,5,6.24,31.2,Credit Card,0,10.94,Return,42.14
2022-02-09 19:00:00,OR202202000025,8127117870,7330237,Fast Charging Power Bank,Electronics,2,8.32,16.64,Bank Transfer,0,12.98,Return,29.62
2022-02-22 15:20:00,OR202202000026,8187698223,7326088,Disposable 3-Ply Face Masks,Health & Beauty,5,5.2,26,Bank Transfer,0,7.15,Pending,33.15
2022-02-25 15:52:00,OR202202000027,8458388321,7321398,Space-Saving Wardrobe Organizer,Home & Living,5,10.4,52,Bank Transfer,0,8.34,Completed,60.34
2022-02-26 04:05:00,OR202202000028,8202835947,7342619,Trendy Waist Bag,Women's Fashion,3,6.24,18.72,Credit Card,0,9.44,Return,28.16
2022-02-16 06:56:00,OR202202000029,8109921121,7350368,Trendy Waist Bag,Women's Fashion,2,6.24,12.48,E-wallet,0.52,9.65,Return,21.61
2022-02-01 01:57:00,OR202202000030,8285868009,7342161,Disposable 3-Ply Face Masks,Health & Beauty,3,5.2,15.6,E-wallet,0,10.48,Completed,26.08
2022-02-24 09:14:00,OR202202000031,8940537392,7386868,Foldable Fabric Storage Box,Home & Living,3,10.4,31.2,Bank Transfer,0,7.31,Return,38.51
2022-02-27 05:21:00,OR202202000032,8746206731,7353858,Space-Saving Wardrobe Organizer,Home & Living,2,10.4,20.8,Bank Transfer,0,14.77,Pending,35.57
2022-02-07 09:16:00,OR202202000033,8902072553,7359094,Trendy Waist Bag,Women's Fashion,5,6.24,31.2,Bank Transfer,0,10.59,Return,41.79
2022-02-22 12:47:00,OR202202000034,8858602517,7397709,Fast Charging Power Bank,Electronics,2,8.32,16.64,Credit Card,0,7.04,Pending,23.68
2022-02-23 21:29:00,OR202202000035,8056225385,7321867,Trendy Waist Bag,Women's Fashion,5,6.24,31.2,E-wallet,0,5.29,Return,36.49
2022-02-06 04:42:00,OR202202000036,8683848586,7306601,Educational Wooden Puzzle Set,Toys & Hobbies,1,2.6,2.6,Credit Card,0,10.13,Return,12.73
2022-02-20 10:07:00,OR202202000037,8180328714,7323772,Trendy Waist Bag,Women's Fashion,1,6.24,6.24,Credit Card,1.76,10.51,Return,14.99
2022-02-24 15:28:00,OR202202000038,8939596240,7381423,Space-Saving Wardrobe Organizer,Home & Living,1,10.4,10.4,Bank Transfer,0,10.62,Completed,21.02
2022-02-25 10:20:00,OR202202000039,8138869994,7341161,Trendy Waist Bag,Women's Fashion,5,6.24,31.2,E-wallet,0,10.42,Return,41.62
2022-02-22 19:25:00,OR202202000040,8742875639,7337183,Space-Saving Wardrobe Organizer,Home & Living,1,10.4,10.4,Bank Transfer,0,6.07,Pending,16.47
2022-02-18 14:04:00,OR202202000041,8720616349,7309142,Non-Stick Air Fryer,Home & Living,4,10.4,41.6,Bank Transfer,0,12.17,Return,53.77
2022-02-04 21:56:00,OR202202000042,8465633460,7355058,Educational Wooden Puzzle Set,Toys & Hobbies,1,2.6,2.6,Credit Card,0,5.57,Completed,8.17
2022-02-16 09:58:00,OR202202000043,8522722547,7317466,Disposable 3-Ply Face Masks,Health & Beauty,2,5.2,10.4,Bank Transfer,0,10.66,Return,21.06
2022-02-25 06:47:00,OR202202000044,8761155512,7358090,Disposable 3-Ply Face Masks,Health & Beauty,4,5.2,20.8,Bank Transfer,0,13.26,Completed,34.06
2022-02-19 02:54:00,OR202202000045,8700701031,7359182,Trendy Waist Bag,Women's Fashion,5,6.24,31.2,Credit Card,1.03,14.74,Return,44.91
2022-02-17 18:36:00,OR202202000046,8581747914,7379253,Space-Saving Wardrobe Organizer,Home & Living,4,10.4,41.6,Credit Card,0,8.89,Return,50.49
2022-02-07 19:48:00,OR202202000047,8447278287,7332695,Disposable 3-Ply Face Masks,Health & Beauty,3,5.2,15.6,E-wallet,0,7.89,Completed,23.49
2022-02-21 14:49:00,OR202202000048,8823450188,7347579,Space-Saving Wardrobe Organizer,Home & Living,2,10.4,20.8,E-wallet,0,6.16,Return,26.96
2022-02-15 06:43:00,OR202202000049,8657858419,7375157,Ergonomic Wireless Mouse,Electronics,5,8.32,41.6,Bank Transfer,0,8.2,Pending,49.8
2022-02-07 02:42:00,OR202202000050,8141714543,7330970,Foldable Fabric Storage Box,Home & Living,5,10.4,52,E-wallet,2.99,12.42,Completed,61.43
2022-02-11 21:28:00,OR202202000051,8971979515,7308656,Foldable Fabric Storage Box,Home & Living,2,10.4,20.8,Credit Card,0,8.64,Completed,29.44
2022-02-04 19:13:00,OR202202000052,8870765755,7322381,Trendy Waist Bag,Women's Fashion,5,6.24,31.2,E-wallet,0,13.2,Completed,44.4
2022-02-28 16:01:00,OR202202000053,8563343835,7308579,Ergonomic Wireless Mouse,Electronics,4,8.32,33.28,Credit Card,0,12.52,Completed,45.8
2022-02-17 20:59:00,OR202202000054,8970706279,7348323,Non-Stick Air Fryer,Home & Living,2,10.4,20.8,E-wallet,0,5.53,Pending,26.33
2022-02-06 18:30:00,OR202202000055,8402837797,7320092,Ergonomic Wireless Mouse,Electronics,2,8.32,16.64,E-wallet,1.71,10.09,Pending,25.02
2022-02-15 02:22:00,OR202202000056,8340866681,7340458,Fast Charging Power Bank,Electronics,2,8.32,16.64,Bank Transfer,0,7.91,Completed,24.55
2022-02-23 19:56:00,OR202202000057,8510565108,7386265,Ergonomic Wireless Mouse,Electronics,2,8.32,16.64,Credit Card,0,14.91,Completed,31.55
